[legalize_heu] log lengths/displacements in physical coords (geometry_scale=6.00)
[legalize_heu] snapped 37 boundary module(s) to die edge

[legalize_heu] multi-pass local move
  Tier 0 bbox_center=(23.00, 23.00)
  Tier 0 [iter=0] running sweeps (h-first)
  Tier 0 [near->far] init_w=1.00 mul=2.00 side_bias=0.00(axis=0)
    [move_apply] module_id=777 center=(16.8429, 13.7088) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=94 center=(26.0836, 33.7187) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=419 center=(19.238, 33.6697) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=504 center=(19.2879, 12.2121) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=40 center=(34.2909, 21.2847) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=569 center=(27.7, 12.5271) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=75 center=(32.1278, 30.2488) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=740 center=(34.0999, 19.3066) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=62 center=(12.3594, 28.1693) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=689 center=(28.124, 33.6569) dx=-0.103145 dy=0 rot90=0 weight=2
    [move_apply] module_id=778 center=(14.2316, 14.9376) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=723 center=(34.9257, 22.8704) dx=0.0132135 dy=-0.127709 rot90=0 weight=2
    [move_apply] module_id=185 center=(11.1167, 21.859) dx=0 dy=-0.02345 rot90=0 weight=2
    [move_apply] module_id=417 center=(30.4712, 32.3941) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=146 center=(21.3778, 34.9773) dx=0.0072823 dy=0 rot90=0 weight=2
    [move_apply] module_id=147 center=(17.5596, 33.7991) dx=-0.00315654 dy=-0.0667823 rot90=0 weight=2
    [move_apply] module_id=451 center=(35.0466, 25.0972) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=489 center=(12.1976, 17.1134) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=606 center=(12.6447, 30.0077) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=623 center=(14.1398, 31.8626) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=162 center=(34.9704, 27.1766) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=757 center=(34.2271, 17.1025) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=505 center=(17.0737, 11.7546) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=589 center=(10.6555, 26.0381) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=474 center=(10.7631, 19.5499) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=568 center=(29.836, 12.2032) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=281 center=(22.932, 10.1946) dx=0 dy=0.0155745 rot90=0 weight=2
    [move_apply] module_id=366 center=(23.6246, 35.7183) dx=-0.0143229 dy=-0.0958178 rot90=0 weight=2
    [move_apply] module_id=506 center=(14.6896, 13.0705) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=295 center=(32.0145, 13.6142) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=347 center=(34.4944, 29.3535) dx=0.10259 dy=0 rot90=0 weight=2
    [move_apply] module_id=8 center=(27.3531, 10.6598) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=638 center=(25.9608, 35.7957) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=571 center=(21.1342, 9.98604) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=317 center=(9.76662, 23.6845) dx=-0.0677209 dy=0 rot90=0 weight=2
    [move_apply] module_id=619 center=(32.5596, 32.0806) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=95 center=(19.128, 35.6706) dx=0 dy=0.0189392 rot90=0 weight=2
    [move_apply] module_id=23 center=(33.9378, 15.3367) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=235 center=(12.2817, 15.0092) dx=0 dy=0.0143934 rot90=0 weight=2
    [move_apply] module_id=27 center=(19.3791, 10.085) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=468 center=(36.3571, 20.6598) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=167 center=(10.3392, 28.3022) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=672 center=(27.974, 35.8876) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=128 center=(30.1757, 34.8053) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=196 center=(36.2236, 18.6562) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=129 center=(21.3888, 36.8384) dx=-0.0950953 dy=-0.00523519 rot90=0 weight=2
    [move_apply] module_id=202 center=(9.10096, 21.517) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=179 center=(37.1161, 23.0452) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=218 center=(10.003, 17.1994) dx=0.0379264 dy=-0.0738682 rot90=0 weight=2
    [move_apply] module_id=130 center=(16.882, 35.875) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=79 center=(12.2395, 32.3635) dx=0.0543502 dy=0.0170175 rot90=0 weight=2
    [move_apply] module_id=299 center=(17.5284, 9.77142) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=795 center=(15.0481, 11.0557) dx=0 dy=0.0271055 rot90=0 weight=2
    [move_apply] module_id=74 center=(34.8902, 31.272) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=280 center=(29.6101, 10.0348) dx=0.147909 dy=0.00226777 rot90=0 weight=2
    [move_apply] module_id=145 center=(32.1574, 34.2466) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=7 center=(32.0962, 11.6517) dx=-0.0174728 dy=-0.0147992 rot90=0 weight=2
    [move_apply] module_id=334 center=(10.4564, 30.6201) dx=-0.102105 dy=0 rot90=0 weight=2
    [move_apply] module_id=184 center=(8.59605, 25.4045) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=508 center=(12.5971, 12.7643) dx=0.0406698 dy=0 rot90=0 weight=2
    [move_apply] module_id=552 center=(25.8452, 8.64087) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=746 center=(8.75542, 19.3411) dx=-0.0626949 dy=0.0394734 rot90=0 weight=2
    [move_apply] module_id=567 center=(33.9652, 13.3825) dx=-0.0597985 dy=0.0967709 rot90=0 weight=2
    [move_apply] module_id=346 center=(36.4136, 29.2201) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=553 center=(23.8647, 8.2166) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=491 center=(10.3149, 15.2281) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=485 center=(36.5284, 16.6513) dx=-0.0202384 dy=-0.0155121 rot90=0 weight=2
    [move_apply] module_id=219 center=(9.89212, 15.4767) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=367 center=(18.8386, 37.682) dx=-0.0971918 dy=0 rot90=0 weight=2
    [move_apply] module_id=439 center=(8.43122, 27.5409) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=401 center=(23.2078, 38.2817) dx=0.0314112 dy=0 rot90=0 weight=2
    [move_apply] module_id=554 center=(21.7532, 7.75492) dx=0 dy=0.00303 rot90=0 weight=2
    [move_apply] module_id=400 center=(29.8605, 36.8075) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=728 center=(7.41891, 23.2075) dx=-0.048894 dy=0 rot90=0 weight=2
    [move_apply] module_id=618 center=(34.8088, 33.1149) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=213 center=(36.159, 14.6618) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=722 center=(38.3897, 20.8531) dx=-0.0562537 dy=0 rot90=0 weight=2
    [move_apply] module_id=279 center=(31.5707, 9.92797) dx=0 dy=0.00153712 rot90=0 weight=2
    [move_apply] module_id=351 center=(12.3098, 34.3558) dx=0.0573048 dy=-0.0294495 rot90=0 weight=2
    [move_apply] module_id=253 center=(13.1128, 10.7491) dx=0.00378282 dy=0 rot90=0 weight=2
    [move_apply] module_id=10 center=(19.7944, 7.53288) dx=0 dy=0.0412328 rot90=0 weight=2
    [move_apply] module_id=111 center=(27.5339, 38.1797) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=794 center=(15.7443, 8.88609) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=739 center=(38.3492, 18.5736) dx=0.0353061 dy=0.0192555 rot90=0 weight=2
    [move_apply] module_id=507 center=(10.3987, 13.2075) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=166 center=(8.38302, 29.63) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=112 center=(20.8161, 38.9178) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=201 center=(6.98849, 21.0864) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=433 center=(38.8753, 26.5997) dx=0.0661191 dy=-0.0522426 rot90=0 weight=2
    [move_apply] module_id=178 center=(39.2329, 22.7359) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=282 center=(17.9891, 7.53308) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=161 center=(39.1957, 24.7181) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=639 center=(16.7845, 38.0561) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=127 center=(34.1514, 35.0003) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=416 center=(37.1172, 31.3214) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=490 center=(7.86132, 16.6698) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=93 center=(31.9361, 36.7831) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=144 center=(38.4126, 28.8424) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=148 center=(10.2145, 33.3459) dx=0.0777219 dy=0.0239682 rot90=0 weight=2
    [move_apply] module_id=473 center=(6.93651, 18.9816) dx=0 dy=0.0687541 rot90=0 weight=2
    [move_apply] module_id=456 center=(6.57806, 25.1656) dx=0.0304483 dy=0.0567418 rot90=1 weight=2
    [move_apply] module_id=774 center=(34.3717, 10.7417) dx=0.141719 dy=0.0331577 rot90=0 weight=2
    [move_apply] module_id=402 center=(14.6732, 37.4751) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=502 center=(36.0381, 12.4549) dx=0 dy=-0.0160126 rot90=0 weight=2
    [move_apply] module_id=383 center=(25.3182, 39.6988) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=165 center=(8.46423, 31.7289) dx=-0.11115 dy=-0.0108862 rot90=0 weight=2
    [move_apply] module_id=808 center=(25.2007, 6.25109) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=779 center=(8.24657, 14.6287) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=96 center=(12.6079, 36.4284) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=523 center=(13.6148, 8.805) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=252 center=(10.9299, 10.961) dx=0.054009 dy=-0.094989 rot90=1 weight=2
    [move_apply] module_id=807 center=(29.6346, 7.2927) dx=0.00178697 dy=0 rot90=0 weight=2
    [move_apply] module_id=792 center=(23.1475, 5.93332) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=791 center=(27.3137, 6.48329) dx=0 dy=0 rot90=0 weight=2
